Date,Time,Town,County,Occupation,Description
2001-02-09,07:30 South Kirkby,,West Yorkshire,,triangle structure inside edge
2001-02-12,"19:30 Trehafod, Ponty Pridd",,Mid-Glamorgan,,rose
2001-02-12,21:25 Colchester,,Essex,,spherical reddish visible whole time zagged across
2001-02-13,02:30 Morton,,Lincolnshire,,circle flashing bracelet right left turned green direction
2001-02-13,10:15 Saltash,,Cornwall,,point source stationary
2001-02-13,18:45 Liverpool,,Merseyside,,four round left right
2001-02-13,22:10 Baschurch,,Shropshire,,size multi edvery fluctuatingglowing blackhole centre rapid movement
2001-02-13,21:00 New Milton,,Hampshire,,hopped disappearing
2001-02-14,00:15 Salisbury,,Wiltshire,,shooting triangle flashing purple green southerly direction
2001-02-14,19:15 North Kelsey,,Lincolnshire,,still side side
2001-02-14,20:00 North Muirton/Perth,,Scotland,,second seemed dimmer degree angles high
2001-02-16,21:00 Bishops Castle,,Shropshire,,yellow green ing towards shrewsbury
2001-02-16,18:20 Ruskington,,Shropshire,,constant heading
2001-02-16,18:30 Ryhall,,Lincolnshire,,intensity saturn south
2001-02-16,18:20 Scarborough,,North Yorkshire,,
2001-02-18,20:10 Starvation Island,,Norfolk,,main stationary
2001-02-19,23:00 Staithes,,North Yorkshire,,green shining ly straight downwards would miles coast
2001-02-22,23:00 Woodford Green,,Essex,,small away distance joined look bigger sparklers
2001-02-23,18:30 Hampstead,,London,,slow
2001-02-24,11:00 Truro,,Cornwall,,explosion rocket blue
2001-02-24,16:45 Bracknell,,Berkshire,,followed usaf contrail ling high straight line
2001-02-26,23:00,,Leicestershire,,blue flashing triangle remained stationary
2001-02-28,12:00 Whitchurch,,Shropshire,,circular ring around miles seconds left right
2001-03-01,19:00 Fleetwood,,Lancashire,,unconventional silent craft consisting four witnesss house
2001-03-01,10:00 Holyhead,,North Wales,,pulsating green stationary
2001-03-01,19:05 Fleetwood,,Lancashire,,five saucers quickly
2001-03-02,,,East Midlands,,running parallel landing lanes midlands message taken march
2001-03-08,18:45 Fleetwood,,Lancashire,,surrounded smaller
2001-03-12,22:00 Finchley,,London,,soft formation south
2001-03-12,18:00 Carnforth,,Lancashire,,small stationary
2001-03-20,01:00 Moseley,,West Midlands,,couple hours later dark underneath
2001-03-21,19:15 Annan,,Scotland,,could make hovered short time headed south
2001-03-26,22:45 Leith/Edinburgh,,Scotland,,fuzzy dancing around
2001-03-29,09:00 Chesham,,Buckinghamshire,,ufos flashing seemed interfere witnesss radio television heading south
2001-03-31,18:15 Whaplode,,Lincolnshire,,hanging straps lose hanging strap black changing stationary
2001-04-03,02:35 Chippenham,,Wiltshire,,pair south towards double flashing pulse
2001-04-03,22:29 Aberdeen,,Scotland,,changing blue green
2001-04-04,21:14 Aberdeen,,Scotland,,twinkling binoculars blue
2001-04-13,23:15 Doncaster,,South Yorkshire,,high described head along side
2001-04-13,,Syderstone,Norfolk,,horizon
2001-04-16,01:30 Grimsby,,NE Lincolnshire,,gave glow coal ember red dropped shot
2001-04-17,22:00 Nr Montrose,,Scotland,,fans made circle flashes centre stationary
2001-04-19,19:35,,Isle of Man,,formation distinct formation separated headed south
2001-05-06,19:50 Oxford,,Oxfordshire,,halo heading
2001-05-07,20:30 Dersingham,,Norfolk,,tadpole long tail followed shortly afterwards similar
2001-05-12,22:10 Bristol Channel,,Somerset,,satellite
2001-05-14,06:50 Rhonda Valley,,Wales,,tennis sized round front triangular back rainbow ed
2001-05-20,01:15,,Humberside,,small blobs rings ring around stationary
2001-05-24,22:25 Forest Hill,,London,,alien craft near witnesss house disc beam coming electrical equipment disturbed
2001-05-31,01:35 Grimsby,,NE Lincolnshire,,across high going er
2001-05-31,03:00 Worcester,,Worcestershire,,shooting movements slow
2001-06-01,10:30 Glasgow,,Scotland,,black cylinder making sharp movements
2001-06-03,02:14 Hitchin,,Hertfordshire,,emitting mauve
2001-06-04,14:00 Moota/Cockermouth,,Cumbria,,triangular craft hovered field ful
2001-06-08,00:05 Keighley,,West Yorkshire,,triangle static slowly straight line
2001-06-10,11:05 Kennoway,,Scotland,,small medium sized pebble black south
2001-06-10,18:00 Fenwick,,Newcastle-upon-Tyne,,spherical minute
2001-06-10,01:56 Arbroath,,Scotland,,triangular pulsing twice size stationary
2001-06-16,11:30 Diss,,Norfolk,,hovering turned
2001-06-17,22:10 Weston-super-Mare,,Somerset,,round glowing changed slowed second appeared
2001-06-19,18:00 Golders Green,,London,,sixty eighty jelly fish also single pulsating amongst
2001-06-25,21:00 Llanelli,,Wales,,disc black changed oval
2001-06-28,23:59 Eynsham,,Oxfordshire,,four times size round yellow
2001-06-29,,Sutton Coldfield,West Midlands,,floating high sutton park
2001-07-02,19:30 Hampstead Gardens,,London,,dome dark directly slowly
2001-07-04,07:00,,Kent,,
2001-07-14,09:08 Holmpton,,Yorkshire,,circle beige south
2001-07-15,16:55 Hellingly,,East Sussex,Pilot,size eagle circles joined together dark brown black quite
2001-07-16,10:55 Burton Joyce,,Nottinghamshire,,round silver reflecting high bobbed
2001-07-18,21:15 Milford Haven,,South West Wales,,eight sized blue yellow following
2001-07-18,,Exmouth,Devon,,cream ed altitude feet
2001-07-18,23:55 Barrhead/Glasgow,,Scotland,,spherical yellow stationary short amount time
2001-07-21,22:31 Letchworth,,Hertfordshire,,sequence right left back random fashion
2001-07-21,20:50 Milton Keynes,,Buckinghamshire,,kite black headed often changed
2001-07-23,18:15 Harrow,,London,,small oon brown sideways
2001-07-23,11:00 Perton,,South Staffordshire,,dark possibly circular rocket first glance part metallic glistened
2001-07-25,14:10 Folkstone,,Kent,,circular flashing high altitude
2001-07-27,19:00 Liverpool,,Merseyside,,domebell either side stationary
2001-07-30,23:10 Nottingham,,Nottinghamshire,,circular yred regular figure eight pattern
2001-07-30,23:30 Bath,,Somerset,,oval rotating
2001-08-01,08:20 Ilkley,,West Yorkshire,,silver fountain described without wings
2001-08-04,00:40 Port Talbot,,Wales,,shining golf clouds
2001-08-04,00:40 Rickmansworth,,Hertfordshire,,circular number small fragments size pieces glow blue
2001-08-04,02:30 Glasgow,,Scotland,,smaller towards away bigger
2001-08-05,23:40 Chipping Norton,,Oxfordshire,,several different purple green south
2001-08-05,02:00 Barnstable,,Devon,,inch across round spinning
2001-08-06,16:30 Ashton-Under-Lyne,,Greater Manchester,,witness something could identify plane
2001-08-06,03:08 Berwick,,Northumbria,,stationary cone extremely
2001-08-11,00:30 Tipton,,West Midlands,,round steps reduced size smaller shot left
2001-08-14,11:05 Buxton,,Derbyshire,,size unknown circular ring horizontal tail hanging black bottom
2001-08-16,21:30 Newport,,Gwent,,round upwards
2001-08-18,02:10 Paisley,,Scotland,,flash fell falling ground wide spiral
2001-08-19,22:45 Shoeburyness,,Essex,,square grid grey static
2001-08-20,10:00,,,,inch across circular metallic grey witness close touched
2001-08-21,01:20 Berwick,,Northumbria,,four cone ly line
2001-08-22,22:56 Newport Pagnall,,Buckinghamshire,,something exploded mass
2001-08-27,21:00 Nantwich,,Cheshire,,eight nine smokeless flares falling parallel
2001-08-27,19:35 Poynton,,Cheshire,,circular depression middle greymetallic emitting smoke
2001-08-28,,"02:00 Cherry Valley, nr Belfast",Northern Ireland,,circular high feet
2001-09-01,16:30 Wallington,,Surrey,,inverted
2001-09-02,01:00 Royston,,Hertfordshire,,rectangulartriangle pulsating average ness
2001-09-03,12:00 Gosport,,Hampshire,,twinkling close proximity plane
2001-09-07,19:45 Broadstairs,,Kent,,fire horizon
2001-09-09,23:45 Probus,,Cornwall,,half mile long slow anticlockwise circles
2001-09-09,04:35 Sheffield,,South Yorkshire,,size helicopter made consecutive nights
2001-09-11,00:10 Hailsham,,East Sussex,,round followed another green conical
2001-09-15,05:00 Swindon,,Wiltshire,,very vertically remained stationary occasional bursts hour
2001-09-16,04:45 Market Drayton,,Shropshire,,mushroomlampshade sixeight feet base
2001-09-17,06:00 Aslockton,,Nottinghamshire,,witnesss window seemed quite distance away slowly
2001-09-21,04:00 Ashford,,Kent,,shipcraft towards ashford hovered ashford time craft solid
2001-09-21,05:30 Ashford,,Kent,,triangular size maybe bigger nerly became stationary
2001-10-03,20:40 Plymouth,,Devon,,exactly fifty points line formation
2001-10-07,03:16 Woodbridge,,Cambridgeshire,,spaceship bottom
2001-10-11,15:20,,,,mentioned planets danger different things going solar system
2001-10-21,18:15 Torbay,,Devon,,venus smaller moon wiggling side side
2001-10-23,23:40 Dorking,,Surrey,,silent helicopter resembling stallion shone witness humming noise
2001-10-27,20:30 Great Yarmouth,,Norfolk,,rear
2001-10-31,04:00 Wisbech,,Cambridgeshire,,well defined blue ends slim middle
2001-11-01,18:45 Wirral,,,,vast number flashing became still
2001-11-05,18:30 South Croydon,,Surrey,,four smaller triangular
2001-11-05,00:30 Hamilton,,Lanarkshire,Police Officer,half saucer green mostly also appeared rings round
2001-11-15,05:59 Armthorpe,,South Yorkshire,Police Officer,tennis size centre black inner line around circle green flare trails rear
2001-11-25,06:20 Inverness,,High Lands,,torpedo front also amber flashing
2001-11-25,06:30 Nairnside,,High Lands,,roundish glowing
2001-11-26,11:20 Briton Ferry,,West Glamorgan,,silver long cylinder hanging parachute oon drifting high
2001-11-30,15:40 Glasgow,,S' clyde,,strange erratically quick dart movements moves stops
2001-12-02,18:15 Torquay,,Devon,,size small room spinning axis
2001-12-10,23:00 Blairgowrie,,Perthshire,,triangular multi ed sides points
2001-12-10,18:15 Torfaen,,Gwent,,together elongated triangle
2001-12-18,,Stockport,Greater Manchester,,grey plumes smoke stockport railway station grey triangle witnessed
2001-12-18,20:00 Stockport,,Greater Manchester,,high slowed wobbled side side
2001-12-18,20:50 Crawley,,Sussex,,rounded triangle longer point giant centre
2001-12-30,02:30 Baltonsborough,,Somerset,,round thirty foot left right rumbling
2001-12-31,09:00 Leeds,,West Yorkshire,,tear drop appeared ning coming sides
2001-12-31,20:30 Bingham,,Notts,,opal blue
2001-12-31,21:00 Malvern,,Worcestershire,,triangular also yellow blue rays hovering pulsated vanished
2001-12-31,,Castle Donington,Leicestershire,,green high appeared land near kegworth
2001-12-31,"18:45 Crewe, Leighton",,Cheshire,,silver really lower straight line message taken
2002-01-09,23:30 Swansea,,West Glamorgan,,green circular hovering position
2002-01-15,18:00 Preston,,,,flashing zigzagging came stop hovered away
2002-01-19,02:00 Urmston,,Greater Manchester,,spherically straight line
2002-01-24,16:12 Cromer,,,,eight nine close separated fireworks
2002-01-27,19:25 Leeds,,West Yorkshire,,four small headlamps
2002-01-28,03:00 Telford,,Shropshire,,triangle mitsubishi sign middle triangle er
2002-02-06,,19:05 Narborough,Leicestershire,,globe attachment
2002-02-13,22:19 Enfield,,Middlesex,,twenty silver tinge enfield wash
2002-02-14,11:05 Corby,,Northamptonshire,,silver appeared quite followed aeroplanes streams behind
2002-02-15,15:56 Richmond,,,,flashing spinning london minster area
2002-02-16,,22:50 Walton-on-Thames,Surrey,,oval disc green flashing
2002-02-22,22:30 Leven,,Fife,,flashed became
2002-02-23,,21:40 Cirencester,Gloucestershire,,quite semi circle across straight line
2002-02-24,19:00 Newport,,Gwent,,smaller triangular blue flashing
2002-02-28,22:50 St. Austell,,Cornwall,,triangle base triangle apex right blue left
2002-03-01,20:00 Lancaster,,Lancashire,,round shimmery spheres racing across night
2002-03-02,,20:40 Weston-super-Mare,Somerset,,numerous wheel
2002-03-05,21:50 Ripley,,Derbyshire,,triangle front centre group four static
2002-03-07,,19:45 Hornchurch,Essex,,semi circular elliptical dully illuminated yellow faint murmur
2002-03-13,20:05 Shotts,,Strathclyde,,saucer tail est thing witness ever
2002-03-14,00:30 Leicester,,Leicestershire,,appeared circular turned diamond blue
2002-03-25,,18:50 Newport-on-Tay,Fife,,red cigar
2002-03-31,,02:15 Scunthorpe,Humberside,,circling around yellow green blue
2023-04-02,,Wisborough Green,Wiltshire,,cylindrical upright grey grey stripes
2002-04-07,,21:30 Walton-on-Thames,Surrey,,round green flashing bobbing side side
2002-04-07,01:50 Scawby,,Humberside,,witness blue yellow shooting followed loud bang
2002-04-08,,22:00 Walton-on-Thames,Surrey,,small disc green flashing
2002-04-08,,08:35 Port Talbot,West Glamorgan,,round green going
2002-04-15,,03:30 Nottingham,Nottinghamshire,,silver triangular triangle formation closely followed police helicopter
2002-04-15,21:50 Worcester,,Worcestershire,,round ed yellow upwards
2002-05-13,,22:00 Addlestone,Surrey,,circular
2002-05-27,,12:45 St John's Wood,London,,floating shining also black dots quickly
2002-05-30,01:50 Dumfries,,,,vertical
2002-05-31,03:40 Stamford,,Lincolnshire,,front flashing blue side purple
2002-05-31,18:30 Woking,,Surrey,,sausage twenty times normal different
2002-05-31,23:00 Harlow,,Essex,,disc type dull glow
2002-06-03,23:40 Keighley,,West Yorkshire,,
2002-06-04,03:20 Llansamlet,,West Glamorgan,,omitting travelled slow steady
2002-06-10,01:30 Carron,,Morayshire,,flashing blue green yellow ing
2002-06-22,01:00 Greenford,,Middlesex,,oval almost rolling rotating
2002-07-14,18:15,,London,,point metallic reflecting sun left vapour trail behind
2002-07-28,,20:55 Nr Salisbury,Wiltshire,,vanished five
2002-08-03,,,,,witness said harriers following village dusk
2002-08-10,23:00,,,,circling reversing direction every
2002-08-12,22:00 Hull,,East Yorkshire,,purple pulsating jelly fish smaller circles surrounding smaller hazy attached
2002-08-13,,00:50 Ruislip Manor,Middlesex,,stuck together blue yellow still
2002-08-15,,21:55 Milton Keynes,Buckinghamshire,,glowing boomerang
2002-08-16,20:12 Brighton,,East Sussex,,glider viewed camcorder horse tumbling around
2002-08-17,21:45 Hull,,East Yorkshire,,series neon neon gold lines boomerang formation
2002-08-20,11:00,,,,green coming never anything
2002-08-21,11:00 Fortrose,,Highlands,,small torpedo silver triangular reflector side
2002-08-26,00:00 Dundee,,Tayside,,strange curtains solid beam outside window five seconds
2002-08-29,00:30 Leicester,,Leicestershire,,shooting four side black shadow
2002-09-01,17:00 Leicester,,Leicestershire,,golf size another golf size formation
2002-09-10,23:23 Hamilton,,Strathclyde,,triangular formation seemed swap places
2002-09-10,,19:45 Tibbermore,Tayside,,small oval seemed elongate closer
2002-09-11,10:40 Kirkcaldy,,Fife,,hanging silver rods drifting slowly became silver faded away
2002-09-18,19:20 Halstead,,Essex,,display sort formation circling
2002-09-19,21:20,,,,circle twenty outside witnesses house twenty
2002-09-19,22:21 Bradford,,West Yorkshire,,circles inside feet diameter ness varied passed clouds
2002-09-23,,17:40 Huddersfield,West Yorkshire,,silver cigar split small silver erratically remained group
2002-09-23,,01:00 St John's Wood,London,,triangle flashingalternating went round inside edges
2002-09-30,23:30 Cannock,,Staffordshire,,times bigger size jumbo gigantic piece street
2002-10-04,21:30 Everett,,USA,,five circling head witness fifty heard pitch noise blue type nucleus centre
2002-10-04,20:30 Southend,,Essex,,small high
2002-10-17,02:54 Hull,,East Yorkshire,Two Police Officers,appeared size normal different blue green
2002-10-23,,07:04 Woodbridge,Suffolk,,silver triangle changed clouded pink green haze
2002-10-25,01:30 Liverpool,,Merseyside,,upturned saucer dome amber dome hovering
2023-11-02,14:30 Walcott,,Lincolnshire,,dark black torpedo plume smoke
2002-11-02,23:00 Gors-goch,,Dyfed,,round yellowish followed green went vertically
2002-11-02,,22:58 Llanerchymedd,Gwynedd,,size foot slowly
2002-11-07,,06:30 Wolverhampton,West Midlands,,sets middle
2002-11-09,22:00 Lechlade,,Gloucestershire,,series pink spaced
2002-11-11,,23:00 Nottingham,Nottinghamshire,,eight joined circle separated independently joined together circle
2002-11-14,,22:12 Saddleworth Moor,Gtr Manchester,,small foot size blue tail
2002-11-15,12:15 Eyam,,Derbyshire,,witness never anything whatsoever
2002-11-15,21:30 Liverpool,,Merseyside,,series eight tracing pattern
2002-11-24,20:00 Bohuntine,,Highlands,,round pale green shining directions possible halo
2002-11-28,,14:26 Cardiff Docks,South Glamorgan,,sightings cardiff docks different
2002-12-16,,"02:35 M62, Near Rothwell",West Yorkshire,,number quite long thin cuttlefish joined become rectangular vertical skimming along
2002-12-18,16:40 Coningsby,,,,oval cluster grew er moon
2002-12-19,06:30 Chaldon,,Surrey,,yellow triangle behind
2002-12-19,,06:30 Notting Hill,London,,falling shooting flames coming back could satellite reentering
2002-12-19,06:30 Brighton,,East Sussex,,cylindrical flowing front flames coming rear noise loud
2002-12-24,10:39 Aylesbury,,Buckinghamshire,,er ed trail times length head
2002-12-29,,00:00 7 miles past Lancaster,Lancashire,,green size traffic arched came ground broke
2003-01-06,,"21:15 St Clares, Nr Carmarthen",Dyfed,,vivid flashing green blue
2003-01-07,,19:20 Nr Benbecula Airport,,Senior Air Traffic Control Officer,landing smaller dimmer
2003-01-08,15:00 Huddersfield,,West Yorkshire,,silver joined another quite line
2003-01-10,21:26 Blackpool,,Lancashire,,hovering first quickly
2003-01-10,,22:00 Coaltown of Balgonie,Fife,,changing strong blue green pulsating jumbo sized
2003-01-10,03:00 Brighton,,,,satellite reentering across shot shooting
2003-01-11,,Stirling,Scotland,,type next vapour trails
2003-01-13,01:00 East Dulwich,,London,,formed worm wriggling around
2003-01-15,23:45 Bridgnorth,,Salop,,oblong vertical flashing yellow green flashing time
2003-01-19,07:40 Dunkeld,,Tayside,,distant side side er went time time
2003-01-29,22:10 Cowbridge,,South Glamorgan,,round disc sly smaller moon creamy changed green
2003-02-03,18:03 Stonehaven,,Grampian,,forming triangle hovering
2003-02-21,18:15 Wolverhampton,,West Midlands,Sgt - RAF,triangular perfect syncronisation humming noise normal commercial airliner
2003-02-25,,Leyland,Lancashire,,curtains split second appeared heading window followed loud bang
2003-03-01,10:30 Penryn,,Cornwall,,circular arms rotating middle
2003-03-30,23:00 Southfields,,London,,plane path
2003-03-31,,Northampton,Northamptonshire,,close together jets refuelling planes going
2003-04-05,20:00 Aldershot,,Hampshire,,delta formation steady noise
2003-04-07,09:20,,London,,silver stationary seemed closer
2003-04-23,03:58,,,,massive size foot pitches triangular took
2003-05-05,02:30 Falmouth,,Cornwall,,craft yellow portside board side circular triangular delta wing size
2003-05-25,,18:15 Heathrow Airport,London,,passed front back
2003-05-25,18:30,,,,black triangle quite silently single direction
2003-06-08,23:00 Sandyford,,Lanarkshire,,high anticollision
2003-06-09,23:20 St. Leonards,,East Kilbride,,huge glowing jellyfish
2003-06-14,17:00 Wellingborough,,Northamptonshire,,cylindrical
2003-06-14,06:40 Isleworth,,London,,silver changed cylinder crescent moon silver stripes
2003-06-14,,21:35 Llandrindod Wells,Powys,,hovering hung smaller dropped
2003-06-21,15:39 Walthamstow,,London,,cylinder radius around faint thought metal shining
2003-06-21,06:00 Girton,,Cambridgeshire,,small circular blue translucent
2003-06-26,16:43 Richmond,,London,,doughnut spotted left right side side side shiny reflective black
2003-06-28,12:32 Wimbledon,,London,,said something seconds didnt specify
2003-07-08,16:28 Melksham,,Wiltshire,,silvery reflective sunshine
2003-07-12,23:22 Glastonbury,,Somerset,,group circular motion slowly along
2003-07-14,20:00 Hereford,,Herefordshire,MOD Police,stationary triangular remained stationary quite height
2003-07-15,22:05 Rhonda,,Mid-Glamorgan,,round legs black spinning
2003-07-15,21:30,,Northamptonshire,,biggest witness ever shot across
2003-07-15,03:25 Bermondsey,,London,,assumed shooting first trail behind
2003-07-20,21:40 Galston on Sea,,Norfolk,,disc slowly poised headed direction
2003-07-22,00:30 Malvern,,Worcestershire,,erratic movement stationary
2003-07-27,23:05 Bridlington,,East Yorkshire,,side side circles
2003-08-04,,Bridlington,East Yorkshire,,silver unbelievable
2003-08-08,18:00 Gravesend,,Kent,,silver hour returned hour later
2003-08-13,21:00 Wellingborough,,Northamptonshire,,brilliant
2003-08-14,22:35 West Kilbride,,Ayrshire,,witness watched dropped bomb
2003-08-14,22:55 Maesteg,,Mid-Glamorgan,,roundish foot flashing multi ed around
2003-08-19,18:00 Southfleet,,Kent,,unusual flashing reflections trail
2003-08-21,23:57 Worcester,,,,bigger quickly diminishing size completely
2003-08-27,23:30 St Seithins,,Perthshire,,middle flashing
2003-09-04,14:00 Lincoln,,Lincolnshire,,cigar grey domed ends silent slow
2003-09-13,23:00 Worcester,,Worcestershire,,helium type oon size moon flashing blue along line area south worcester
2003-09-13,23:40 Todmorden,,West Yorkshire,,split point becoming eight
2003-09-17,21:40 Heckmondwike,,West Yorkshire,Senior Curator/Royal Armouries Museum,circular half apparent size moon dull yellow
2003-09-17,20:15 Great Yarmouth,,Norfolk,,mars ness south direction
2003-09-18,20:45 Northampton,,Northants,,small size much darker rust followed another manoeuvres
2003-09-19,21:00 Northolt,,London,,brilliant flickering yellow extremely er around side side
2003-09-22,03:00 Wimbledon,,London,,triangular copper ed hovered house minute
2003-09-24,,22:30 Ashby De La Launde,"Nr Digby, Lincolnshire",,spinning whilst stationary house
2003-09-24,,Hove,East Sussex,,unidentified definitely aeroplane
2003-10-26,19:25 Barry,,South Glamorgan,,unusual falling cloud burning viewed five
2003-11-17,20:45 Northampton,,Northamptonshire,,pairs recognisable purple
2003-12-01,21:06 North Wirral,,Merseyside,,side side overhead dull
2003-12-02,02:25 Bromley,,Kent,Police Officers/Police helicopter crew,flashing accompanied whirring noise
2003-12-02,,Woodbridge,Suffolk,,unusual strange
2003-12-17,01:20 Aylesbury,,Buckinghamshire,,nothing loud noise heard oon letting
2003-12-29,01:30 Thame,,Oxfordshire,Editor of a newspaper,loud noise oon heard nothing
2004-01-09,19:15 Wokingham,,Berkshire,,blackdark along side weird strobe across high
2004-01-09,01:50 Nr Barnton Park,,Edinburgh,,steady resembling front helicopter
2004-02-11,,14:00 Market Harborough,Leicestershire,,black triangular triangle formation rumbling
2004-03-01,22:30 Thaxted,,Essex,,strange watched half hours
2004-03-25,21:00 Peterborough,,Cambridgeshire,,four dull house
2004-03-27,06:15 Grosmont,,North Yorkshire,,appeared less pair yellow discernable
2004-04-09,21:45 Ely,,Cambridgeshire,,four er others sometimes fading
2004-04-11,21:05 Holbeach,,Lincolnshire,,described pair ing
2004-04-14,20:00 Lowestoft,,Suffolk,,yellow circular formation flash shot across went
2004-04-14,,22:10 Leighton Buzzard,Bedfordshire,,rocket generally times whirring
2004-04-19,,,Sri Lanka,,lankan time ring doughnut rings surrounding
2004-04-22,19:30 Dimchurch,,Kent,,said
2004-04-25,20:43 Seaforth,,Merseyside,,cluster four ring beams shone upwards
2004-04-29,,10:30 Wellingborough,Northamptonshire,,round overhead
2004-05-10,20:27 Honley,,West Yorkshire,,jellyfish might side
2004-05-14,22:10 Filey,,North Yorkshire,,together climbed incredible headed south coast
2004-05-20,16:30 Goole,,East Yorkshire,,boomerang stationary power station circling
2004-05-20,08:50 Primrose Hill,,London,,rectangle
2004-05-22,22:30 Derby,,Derbyshire,,four plus outer circle round eight going round clockwise direction
2004-05-25,22:45 Storth,,Cumbria,,around kite
2004-06-01,03:10 Leeds,,West Yorkshire,,also strobe near
2004-06-02,09:43,,Surrey,,witness clearly grooves windows could room humans within
2004-06-02,11:15 Nelson,,Lancashire,,chewy mint
2004-06-04,23:50,,,,disc without wings silent
2004-06-05,17:00 Paignton,,Devon,,long single black cylinder type long
2004-06-14,00:00 Hamilton,,Lanarkshire,,flashing making engine noises
2004-07-13,00:35 Hamilton,,Lanarkshire,,flashing making engine noises
2004-07-14,01:00 Hayes,,Middlesex,,comet first quite er grew bigger
2004-07-19,21:07 Coventry,,West Midlands,,black silver cylindrical cloud level
2004-07-28,,Wellingborough,Northamptonshire,,black methodist church
2004-07-31,23:15 Bridgend,,,,long brilliant changed sight lost
2004-08-07,,01:00 Winchmore Hill,London,,extremely completely circular pulsating different
2004-08-29,23:10 Corby,,Northamptonshire,,yellow level appeared nowhere seconds
2004-09-02,22:20 Wellford,,Berkshire,Press/Newspaper called about reports,flames solid underneath flames went came plummeted earth
2004-09-04,,Lynton nr Exmoor,Devon,,looks triangle horizon
2004-09-05,,22:45 Shepton Mallet,Somerset,,strange quite going upward direction
2004-09-05,04:30 Chingford,,London,,strange looking bigger mesh around blue green yellow around outside
2004-09-07,03:05 Loughton,,Essex,,hazy round noise
2004-09-08,23:50 Deal,,Kent,,proportions velocity
2004-09-16,14:30 White Hill,,East Hampshire,,black cylinder rectangle size house minute black changed silver
2004-09-24,10:24 Birmingham,,West Midlands,,wide domed bottom metallic appearance
2004-09-24,15:20 Barry,,South Glamorgan,,first kite wings fuselage
2004-09-24,11:30 Holywell,,Flintshire,,silvery pulling apart together left vapour trails
2004-10-10,20:15 Cardiff,,South Glamorgan,,flash turned grey descending cardiff trailing smoke behind
2004-10-10,,03:50 Iwerne Minster,Dorset,,great really intense fire rapidly towards ground
2004-10-11,06:30 Devizes,,Wiltshire,,fire coming tail sparks coming
2004-11-06,06:30 Newport,,Dyfed/South Wales,,disc tail shiny
