Date,Time,Town,County,Occupation,Description
2001-04-03,02:35 Chippenham,,Wiltshire,,A pair of bright red lights were moving from the South East towards the North West. Each light had a double flashing pulse.
2001-04-03,22:29 Aberdeen,,Scotland,,"Star like object in the sky. Changing colours - red, blue and green."
2001-04-19,19:35,,Isle of Man,,Three very large objects. They were travelling in formation. The distinct formation separated and they headed off South East.
2001-05-12,22:10 Bristol Channel,,Somerset,,Two satellite shaped objects. White and very bright.
2001-06-10,11:05 Kennoway,,Scotland,,Small to medium sized object. Pebble shaped. Was black. Was travelling from South to the North.
2001-06-10,18:00 Fenwick,,Newcastle-upon-Tyne,,A white spherical object. Object was seen for about one minute.
2001-06-10,01:56 Arbroath,,Scotland,,"One triangular shaped, pulsing white light. Was about twice the size of a star. Object was stationary."
2001-07-14,09:08 Holmpton,,Yorkshire,,"One object, a circle. Beige in colour. Was flying from North to South West."
2001-07-21,22:31 Letchworth,,Hertfordshire,,"A sequence of bright lights. Were moving from right to left, then back in a random fashion."
2001-07-21,20:50 Milton Keynes,,Buckinghamshire,,Kite shaped object. Black in colour. Headed West and often changed it's speed.
2001-07-30,23:10 Nottingham,,Nottinghamshire,,"One circular object, orangey/red. Was very bright. Was moving in a regular figure of eight pattern."
2001-07-30,23:30 Bath,,Somerset,,One oval shaped object. It had rotating lights. Was moving to the West.
2001-08-05,23:40 Chipping Norton,,Oxfordshire,,"Several objects. Different colours - purple, green and white. Very bright. Moving very fast to the South."
2001-08-05,02:00 Barnstable,,Devon,,"Two, 18 inch across, round shaped, spinning objects. White and very bright."
2001-08-20,10:00,,,,"One 15 inch across, circular shaped object. Metallic grey. The witness got up close and touched it."
2001-08-27,21:00 Nantwich,,Cheshire,,Eight to nine smokeless flares. Two were falling - parallel.
2001-08-27,19:35 Poynton,,Cheshire,,Circular object with a depression in the middle. Was a grey/metallic colour. Very bright. It was emitting smoke.
2001-09-11,00:10 Hailsham,,East Sussex,,"A very large, round object, followed by another object, which was green and conical in shape. Both were travelling fast."
2001-11-01,18:45 Wirral,,,,A vast number of lights flashing in the sky. The lights then became still.
2001-12-31,09:00 Leeds,,West Yorkshire,,"Looked like a bright orange tear drop shaped object, that appeared to have lightning coming from its sides."
2001-12-31,20:30 Bingham,,Notts,,"One opal shaped object with lights, that were orange, red, blue and white. Was very bright."
2001-12-31,21:00 Malvern,,Worcestershire,,"One object, the shape of a star. Triangular red lights. There were also yellow and blue rays. Was hovering. Pulsated and then vanished."
2001-12-31,,Castle Donington,Leicestershire,,"A bright, green light was moving at very high speed. The object appeared to land near Kegworth over the M1"
2001-12-31,"18:45 Crewe, Leighton",,Cheshire,,"Silver ball, really bright. Was lower than an aircraft and moving in a straight line. (Message taken 17 Feb 2001)."
2002-01-09,23:30 Swansea,,West Glamorgan,,"Green, circular object, that was hovering in its position."
2023-04-02,,Wisborough Green,Wiltshire,,"One cylindrical, upright object that was grey and had light grey stripes."
2002-09-10,23:23 Hamilton,,Strathclyde,,"There were three objects, each of which had two bright orange lights, in a triangular formation. Seemed to swap places with each other!"
2002-09-10,,19:45 Tibbermore,Tayside,,"One small, bright, oval shaped object. The object seemed to elongate as it got closer."
2002-11-02,23:00 Gors-goch,,Dyfed,,Round yellowish light followed by a green light. Went up vertically.
2002-11-02,,22:58 Llanerchymedd,Gwynedd,,"One light, the size of a football moving slowly at about 2-3000ft."
2002-11-09,22:00 Lechlade,,Gloucestershire,,Series of lights moving in an arc. They were pink and spaced out.
2002-11-24,20:00 Bohuntine,,Highlands,,"Round orange shaped object, with pale green lights shining out in all directions. (A possible halo)."
2002-11-28,,14:26 Cardiff Docks,South Glamorgan,,Two sightings over Cardiff docks. The objects were of different colours and were moving up and down.
2003-01-19,07:40 Dunkeld,,Tayside,,"Distant object moving from side to side. Bright light, brighter than any star. Went dim from time to time."
2003-04-07,09:20,,London,,Two silver objects that were stationary in the sky. One seemed to be closer than the other.
2003-06-21,15:39 Walthamstow,,London,,"Cylinder shaped object, with radius around it of what looked like faint stars. Thought it was metal, as light was shining off of it."
2003-06-21,06:00 Girton,,Cambridgeshire,,Small circular object. Blue and white translucent.
2003-07-27,23:05 Bridlington,,East Yorkshire,,"Bright white star like light. Moved from side to side, up and down and in circles."
2003-09-17,21:40 Heckmondwike,,West Yorkshire,Senior Curator/Royal Armouries Museum,"Two circular objects, about half the apparent size of the moon, that were a very dull yellow."
2003-09-17,20:15 Great Yarmouth,,Norfolk,,Bright as Mars. White light. Dim brightness. Moved in a South East direction.
2003-11-17,20:45 Northampton,,Northamptonshire,,"Saw two pairs of objects, that were not recognisable as aircraft and were purple in colour."
2004-04-09,21:45 Ely,,Cambridgeshire,,"Four lights, one brighter than the others, sometimes fading."
2004-05-10,20:27 Honley,,West Yorkshire,,Looked like a Jellyfish flying in the sky. Might have had two bright lights on the side of the object.
2004-06-02,09:43,,Surrey,,"The witness had seen the object so clearly, that grooves and windows could be seen and no room for humans to fit within it."
2004-06-02,11:15 Nelson,,Lancashire,,The object was white in colour and 'chewy mint' shaped.
2004-07-31,23:15 Bridgend,,,,"One object about 70ft long, with brilliant bright lights. The object changed shape, just before the sight was lost."
2004-09-07,03:05 Loughton,,Essex,,"The object was white, hazy and round, and there was no noise."
2004-09-24,10:24 Birmingham,,West Midlands,,The object was about 2-3mm wide with a domed top and bottom. Was metallic in appearance.
2004-09-24,15:20 Barry,,South Glamorgan,,"The object was a bright light at first and then looked like a box kite. There was no sound, wings or fuselage."
2004-09-24,11:30 Holywell,,Flintshire,,"Two silvery objects, they were pulling apart and moving together and they left vapour trails as they were moving."
2004-11-29,21:25 Driffield,,East Yorkshire,,The object had three to four different colour lights.
2005-02-15,,Scarborough,North Yorkshire,,The object was like a big silver ball/light that was seen in the sky and it then moved off at speed to the North East. Seen night time.
2005-02-20,,St Clements,Cornwall,,A bright light was seen heading towards the earth through the clouds.
2005-02-20,05:00 Port Talbot,,West Glamorgan,,"Looked like an orange ball of light, like a big star in the sky and it had spiderish legs."
2005-02-20,,16:30 Scarborough,North Yorkshire,,Light bulbs in the sky. (From the Scarborough Evening Post).
2005-02-20,,17:50 Wellingborough,Northamptonshire,,"Witnessed a V shaped object, which had bright lights, and sounded like bees."
2005-02-20,,20:00 Bridlington North Bay,East Yorkshire,,A group of lights in the sky were moving erratically to the West. They just seemed to fade away.
2005-02-20,22:55 Orpington,,London,,A massive light. The object was shaped like an iron. Didn't move at all.
2005-04-04,09:45 Barrington,,Somerset,,Saw an amazing blue light travelling very fast across the sky. Left a trail.
2005-09-10,11:50 Ripon,,North Yorkshire,,"Round, football shaped object that was shiny and metalic."
2005-09-10,,North of Derbyshire,,,"There were eight to ten circular things/objects that looked quite low in the sky. They were uniform shape, small and opaque."
2005-09-10,,21:30 Rhossili Bay,South Wales,,"A bright object was travelling at high speed, horizontally, West to East. The object was a matt white, which looked like marble."
2005-09-10,,17:45 Little Waltham,Essex,,"The witness saw a cylindrical shaped object, that changed from silver to black as it was moving across the sky. About 100ft wide."
2005-09-10,22:00 Louth,,Lincolnshire,,"Two orange orbs seen outside moving very slow at first, then very fast towards the North Sea."
2005-10-16,21:00 Loughton,,Essex,,Three objects were seen in the sky. The objects appeared to be orange in colour.
2005-10-16,20:58 Loughton,,Essex,,Three balls of fire in the sky. They keep circling and then lining up.
2005-10-16,21:15 Lochgelly,,Fife,,"Bright, white lights that were moving in semi circles."
2005-10-16,20:55 Blairgowrie,,Perthshire,,Three white circles going clockwise then anti-clockwise.
2005-10-19,15:58,,,Pilot,"One object, dark brown, that was a military shape and was fast moving."
2005-10-20,17:40 Truro,,Cornwall,,A bright light was seen coming from North West heading South East.
2006-09-13,,13:11 St. Tudwal's Islands,Mid-Wales,,The object looked like a black square hanging in the sky.
2006-11-29,23:45 Johnstone,,Paisley,,"One pure-orange object, that was spherical. The size of a street light."
2006-12-11,22:00 Seaham,,County Durham,Police Officer,"Six yellow/orange lights were seen, travelling in a line/slightly staggered, from South to North."
2007-04-23,11:20 Peterborough,,Cambridgeshire,,"Something like shells, with pale pink in the middle, all flying the same speed in formation."
2007-08-11,20:45 Llanpumsaint,,Carmarthenshire,,"Ball of light that faded away, then came back again. Orange ball was near the car. 
Three red lights were seen moving clockwise."
2007-08-18,,M4 Motorway/Swindon,Wiltshire,,An object fell from the sky. It had like a green halo around it. Was very bright.
2007-08-26,,Cold Ashby,Northamptonshire,,Joined lights suddenly moving independently and erratically. Sometimes vertical.
2007-09-30,14:09 In the air nr Alderney,,Channel Islands,"Two Pilots, different planes","First object was bright orange/yellow. There was a gap in light or darker area. 
Second object was identical."
2008-02-11,,Bethnal Green,London,,"Twenty, solid red lights in the sky. The lights went up and down in the sky and then 
just disappeared."
2008-02-11,22:53 Chelmsford,,Essex,,"Five, bright orange lights in the sky, equally spaced, forming a diagonal line. They 
were moving up and down and to the left and right."
2008-02-25,,Alton,Hampshire,,"Sixty to two hundred objects seen moving across the sky. They were moving at a 
steady pace."
2008-03-12,17:30 Hinckley,,Leicestershire,,"A large object was moving fast and low over the 'perimeter road' on the outskirts of 
Hinckley."
2008-05-19,,Stanfields/Stoke on Trent,Staffordshire,,There were eight small discs moving in a formation in the sky.
2008-05-19,20:20 Ladybank,,Fife,,"One bright, red object. It was quite large. It hovered for about five minutes, before 
heading East, gaining height and then vanishing."
2008-05-19,21:50 Shrewsbury,,Shropshire,,"A series of lights in a circle that had an inner circle. There were fifteen extra lights 
on the outside of the outer circle. They were moving clockwise, then anti-clockwise 
through the sky and then back again."
2008-05-31,21:40 Poulton le Fylde,,Lancashire,,"A bright, white light was seen, moving in a North Easterly direction, on a slow even 
course. Was about 2000ft up in the sky."
2008-05-31,,19:16 Thorpe St. Andrew/Norwich,Norfolk,,"A ball that lit up and that lasted half a second. Then a really tiny star moved 
rapidly, faster than any satellite or aircraft the witness had seen."
2008-05-31,08:00 Bottesford,,Lincolnshire,,"A silver disc was seen, with an orange light in the middle of it. The object was 
flying up and down in the sky."
2008-06-07,,Shirley/Solihull,West Midlands,,"A giant craft shone a light into the witnesses back window. It shot off fast at first to 
the North East and then started to move at a slow pace."
2008-06-07,18:30 Bridge of Don/Aberdeen,,Aberdeenshire,,"There were lights in the sky, and then they formed into two triangle formations. 
They were very bright. There was a smaller light on each end of the two triangles."
2008-06-08,,Bdirport,Dorset,,"Object hovered for a while.Silent. Shone a light down. Difficult to focud on as it 
loooked  like a blurred light."
2008-07-28,22:24,Chorley,Lancashire,,"A triangular shaped object. Was an orange 
colour. The object was moving across the sky 
quite fast."
2008-09-03,18:30,Dundee,Tayside,,"There was a very bright orange sphere in the 
sky. It was acting strange and appearing and 
disappearing."
2008-09-03,20:20,Rainham,Kent,,"A huge disc shaped object. Approximately 
twenty times the size of an aeroplane. It had 
five or six flashing lights on the underneath in 
a circular shape."
2008-09-27,22:00,Leeds,West Yorkshire,,"Two bright lights were moving fast from West 
to East. They were at typical jet height. They 
then went behind trees and just disappeared."
2008-09-28,23:09,Stranraer,Dumfries & Galloway,,"A bright orange object. It was heading in a 
South Easterly direction."
2008-11-06,23:40,Bedford/Arledsey,Bedfordshire,,"There was a total of seven strange lights 
moving from North to South."
2008-12-26,Not stated,Farnham,Surrey,,"Two, red round lights. The objects were 
moving across the sky in different directions 
and then just disappeared."
2008-12-26,22:00,Gosport,Hampshire,,"A silent aircraft passed overhead. It was 
clearly visible like a shooting star, but with a 
smooth curving course."
2008-12-26,Not stated,Scunthorpe,Lincolnshire,,"Oval shaped, weird light in the sky. The object 
moved from right to left and was moving in a 
Westerly direction."
2008-12-26,Not stated,Shirley,West Midlands,,"A triangle shaped object, which had three 
white lights and one red light. There was no 
noise."
2023-01-09,22:30,Loughborough,Leicestershire,,"Twenty to twenty five lights were moving 
across the sky. They were in a uniformed 
lighting formation."
2023-01-09,22:30,Brill/Aylesbury,Buckinghamshire,,"A red light slow moving in the sky. The object 
was not terribly high up."
2023-01-09,22:05,Larkhall,Lanarkshire,,"One single round light. It was orange/red in 
colour. It was moving South East. There was 
no sound at all."
2023-01-09,Not stated,Burbage/Hinckley,Leicestershire,,"Two bright lights. It looked like a spectrum of 
light shone through the car."
2023-01-09,21:10,Argoed,West Glamorgan,,"Three bright orange lights/objects in the sky, 
about a mile away. One of the objects was 
black and disc shaped. It moved quick and 
was silent."
2023-01-09,21:56,Darlington,County Durham,,"Two objects that both had two lights on them. 
Each object was moving independently from 
the other. There was no sound."
2023-01-09,21:00,Emsworth,Hampshire,,"There was a bright yellow light in the sky. The 
object was approximately 12,000 ft up."
2009-02-07,Not stated,Slough,Berkshire,,"There was a triangular object hovering a mile 
above the witness's house. It had a sort of 
pattern under it, like a sign. It also had three 
circular type of lights. There was a weird 
hovering sound. It then shot up in the sky and 
disappeared."
2009-02-07,20:05,A259/Brighton,East Sussex,,"A bright spherical light was hovering above a 
house. The object slowly departed to the East 
and it spun and shifted at a rapid speed 
upwards in a Northerly direction, before 
disappearing."
2009-02-07,00:01,Snetterton,Norfolk,,"A very high object came from out of space, 
travelling ten times the speed of sound. It was 
followed by a loud whooshing sound. The 
object was declining and was travelling far 
faster than any jet can go."
2009-02-07,18:30,Wakefield,West Yorkshire,,"There was an orange object in the sky and it 
was the size of an aircraft. The object was 
about twenty miles away. It climbed into the 
sky very fast, and then disappeared."
2009-02-07,20:35,Dumfries,Dumfriesshire,,"There were two lights moving towards each 
other. They then merged, disappeared and re-
appeared, but were apart. The lights were 
seen to the South West."
2009-05-09,Not Given,Halifax,West Yorkshire,,"A silver disc shaped light seen for two minutes. Witness was in his 
lounge."
2009-05-09,Not Given,High Wycombe,Buckinghamshire,,A bright object travelling very fast overhead. Not a plane.
2009-05-09,Not Given,St Albans,Hertfordshire,,Something lit up the sky. There was smoke in the sky afterwards.
2009-05-19,Not Given,Old Coulson,Surrey,,"Saw a large shape in the sky. It didn't look like a helicopter but 
sounded like one and was very loud. It hovered for an hour. Then 
headed towards Caterham."
2009-05-19,19:44,Lichfield,Staffordshire,"Air Traffic Control 
employee",A bright yellow light. It vanished for a few seconds then reappeared.
2009-05-23,20:40,Anlaby,Hull,,"A very large ball (looked like a fireball). The object was small, but 
rather far away"
2009-05-23,20:58,Undy,Newport,,"Object had a large light on the front and a smaller red and green 
light on either side, as if on the ends of a planes wings. Base was a 
perfect square and black in colour. It made a quiet humming sound."
2009-05-23,21:40,West Cross,Swansea,,"Large ball of light. Light did not diminish. Very strange. Made no 
sound. Very strange."
2009-05-23,23:05,Henleaze,Bristol,,"Large spherical object, bright orange in colour. Much bigger than 
any plane or helicopter. Glowed brightly all over. Was completely 
soundless."
2009-06-07,10:10,West Row,Suffolk,,"Bright clear light shooting across sky. There were blue lights almost 
in line with the clear light. They were evenly spaced."
2009-06-20,20:10,"Near Edinburgh 
Airport",Edinburgh,,"White on outer edges. 7-800ft long. Moving very fast from North to 
South."
2009-06-20,Not Given,Gorseinon,Swansea,,Strange object seen when he developed photographs he had taken.
2009-06-20,19:30,"Between Norwich 
and Lenwade",Norfolk,,"Ten orange orbs. Orbs had slightly pulsating orange lights. Not like 
navigation lights. Made no noised."
2009-06-20,20:05,Not Given,Not Given,,"Six lights, some red, some orange and some white all travelling in 
the same direction. It was either one big object or six single objects. 
All travelling in the same direction."
2009-06-27,Not Given,Aberford,Leeds,,"Witness saw a long light flashing like a laser. Sometimes there were 
two lights crossing over. This is the third time they have been seen 
over six weeks."
2009-06-27,00:15,Winwick,Warrington,Police Officer,"Two orange lights in the sky that hovered over the old hospital site. 
The lights were not together but were stationary. They made no 
noise. They then moved off in a southerly direction."
2009-06-27,19:00,Colchester,Essex,,"A bright light that went straight up in the sky above the A12 near 
Colchester."
2009-06-27,19:19,Leigh,"Greater 
Manchester",,"A dome shaped orange ball of light. It suddenly took off from a field. 
It was organic like a jellyfish. Transparent, and you could see its 
internal workings. It departed swaying left to right and made a 
droning noise. 150-200ft in the air."
2009-06-27,19:50,Gravesend,Kent,,"A ball of light with a few lights inside. It hovered over Gravesend for 
some 30 minutes. Too static for a helicopter."
2009-06-27,21:45,Bradford,West Yorkshire,,"Two strange lights behind the clouds that appeared to be playing 
with each other, pretending to crash into each other. Then they were 
joined by a third light that hovered underneath them, going back and 
forth."
2009-06-27,22:45,Arundel,West Sussex,,"Five bright orange lights in the sky. One was in the lead the other 
four in a loose rectangular formation. Disappeared behind trees then 
were seen in a line with long gaps between them. Heard no engine 
noise. Headed south for two miles before vanishing."
2009-07-10,18:45,Bishopsmill,Morayshire,,"Lights like little stars in a half moon shape. A bright light at the 
centre was moving very slightly."
2009-07-10,19:00,Warlingham,Surrey,,"Three very bright orange lights in triangular formation. They were 
circular with no tails. Travelling at speed towards the east. Made no 
sound. Could not tell height. Visible for 4-5 minutes before fading 
away one by one."
2009-07-14,21:15,Hayes,Middlesex,,An object hovering in the sky. The object had bright lights.
2009-07-14,23:10,Holland on Sea,Essex,,"An emerald green object that was like a torchlight or a large 
grapefruit. It flitted up, down and around outside the landing window. 
The beam of light narrowed and it came back as a ball shape. It was 
still for 90 seconds then vanished."
2009-07-19,05:35,Portsmouth,Hampshire,MoD Guard Service,"A wide pear drop shaped translucent green light with a small tail of 
light. Moved in NW direction. Made no noise and vanished after a 
few seconds."
2009-07-19,20:30,Heywood,Lancashire,,"Three orange lights, evenly spaced and moving at the same speed. 
Gradually disappeared after five minutes. Heading from SE to NW."
2009-07-19,21:02,Bromsgrove,Worcestershire,,"A red fire ball travelling at extreme speed. It made no sound. 
Heading from Coventry to Leominster."
2009-07-19,22:00,Milton Keynes,Buckinghamshire,,Two very bright glowing orange lights moving at very high speed.
2009-07-19,Not Given,Not Given,West Sussex,,"A constant light travelling West to East. Very erratic, wobbling off 
course then just disappeared."
2009-08-29,Not Given,Lewes,East Sussex,,Eleven bright star like objects heading North East.
2009-08-29,00:15,Ripon,North Yorkshire,"Air Traffic 
Controller","Bright orange lights. A single light followed by a group of three and 
then another single light. On a North East to South West track."
2009-08-29,Not Given,Bradford,West Yorkshire,,"Different coloured pulsating lights. Police checked with Air Traffic 
Control who said they had nothing. Police suspect Chinese lanterns."
2009-08-29,23:10,Shoreham,Kent,,"Initially two UFOs increasing to six. Bright orange. Last four were 
bigger and brighter than the first two."
2009-08-29,Not Given,Porthcawl,Mid Glamorgan,,"A very bright orange circular shape. Got smaller as it moved away. 
Moving South West to South."
2009-08-29,19:30,Wroughton,Wiltshire,,"Black disc shaped objects hovering over crop circles near Barbury 
Castle. They cast shadows on the ground."
2009-08-29,23:20,Stevenage,Hertfordshire,,"Two huge lights chasing each other like cat and mouse. It was 
broken cloud and the lights would never leave the clouds, just go to 
the edge. It looked like a strong light was coming from above the 
clouds. They both shot off to the North."
2009-08-30,Not Given,Angmering,West Sussex,,"A large orange glowing ball in the sky. It was stationary and not very 
high up."
2009-08-30,22:00,Chelmsford,Essex,,"Two objects the size of light aircraft but perfectly spherical and 
glowing bright orange. They were solid and made no sound. They 
headed NW to SE."
2009-09-06,22:35,"Moreton-in-Marsh
Welwyn Garden",Gloucestershire,,"Six round brilliant objects in pairs, apart from the last two which were 
in line. Travelling South to East."
2009-09-19,23:30,Lichfield,Staffordshire,,"Eight alien aircraft seen just above helicopter height travelling SW 
to NE. There was a humming sound. They looked like they were 
""eyeing the place up""."
2009-09-19,Not Given West Grinstead,,West Sussex,Part-Time Pilot,"12-15 objects. Not like normal fixed wing aircraft, more like bright 
orange lights. Moving West at indeterminate height. Objects entered 
cloud then turned around."
2009-09-19,00:15,Brighton,Sussex,,"A red light followed by 7 others. They came from the West, flew 
overhead and disappeared. Definitely not aircraft."
2009-09-19,23:30,Marston Green,Birmingham,,"Some 30 orange lights heading from Birmingham Airport towards 
Coleshill."
2009-09-19,Not Given,Not Given,Not Given,,"Three very bright orange lights. Fairly large and moving much faster 
than an aircrfat. They disappeared. Then two lights appeared from 
the South. The lights appeared co-ordinated. They were not aircraft."
2009-09-19,01:35,"Stratford upon 
Avon",Warwickshire,,"A dormant blue light which changed colour many times over the 
hour it was witnessed. At first it was moving steadily and then it 
stopped in  mid air. Then started moving from left to right. A white 
beam could be seen shining down from it. It had red lights."
2009-09-19,02:00,Peterborough,Cambridgeshire,,"Two objects, one with a brighter light. The second one was behind it 
and had a dimmer light. No navigation lights. Not normal. Reluctant 
to say it was a UFO - perhaps it is a plane."
2009-09-19,22:25,Pagham,West Sussex,,"Five orange bright lights. Half a mile distance between each one. 
Took photos."
2009-09-19,00:20,Northampton,Northamptonshire,,"Fast, shiny discs. Lower and faster than a plane, not a plane or 
helicopter. Sphere, brilliant light."
2009-09-19,00:30,Glasgow,Strathclyde,,"Two sightings. First at 12:30 (bright light), second at 01:30 (flashing 
green)."
2009-09-19,20:00,Palmers Green,London,,"Having a BBQ with some friends when saw an orange fireball about 
to crash two gardens away, but on checking it was now high in the 
sky about half mile away. 3-5 minutes later another object appeared 
then a third spherical object with a leg protruding."
2009-09-26,22:30,Ruislip,Middlesex,,"Three bright orange lights, not flashing. Very big, high up, set 
equally apart. Reported it to RAF Northolt. Never saw anything like 
this before."
2009-09-26,22:35,River Severn,Gloucestershire,,"A UFO of orangey/red colour. It hovered and moved slightly in the 
direction of Stroud, then suddenly dropped downwards."
2009-09-26,01:22,Newport,Gwent,,"A bright, reddish light travelling W to E, below cloud level. It made 
no sound. It was moving in a straight line but too slow to be a 
meteorite. It had no navigation type lights."
2009-09-26,09:01,Not Given,Not Given,,"10-12 bright orange objects, silent. Has a photo of them saved on 
his mobile."
2009-09-26,22:30,Sheffield,Yorkshire,,"Six yellow lights, stationary at first then moved off."
2009-09-26,22:55,Nottingham,Nottinghamshire,Ex-police,"Four-five orange lights, fluctuating lights. Lives under flight path of 
Donnington airfield. Objects moved in a line. Lights faded. Returned 
10 minutes later."
2009-09-26,23:00,Not Given,Cornwall,,"Video footage in Cornwall near an Air Station (possibly Culdrose). 
Five minute sighting."
2009-09-26,12:48,Hitchin,Hertfordshire,,"Large round object. Two planes flew round it. Could be something 
natural, such as an eclipse."
2009-09-26,Not Given,Ashburton,Devon,,"Light seen in sky also above this was a large round shape which 
looked rocky and was blue and pink in colour."
2009-09-26,10:03,Newmarket,Suffolk,,"15 to 20 orange and red lights looked as though they were coming 
down to land but then went over head and 'went out'."
2009-09-27,11:00,Edinburgh,Scotland,,"Saw through the clouds flashing pale blue lights odd shapes but 
mostly circles. Movement continued for 25 minutes. A small red light 
was on outside parameter of blue lights which 
disappeared/amalgamated into one large blue light which speedily 
disappeared."
2009-09-27,23:20,Barking,Essex,,"Bright, oval shaped object with red and green lights. No noise."
2009-09-27,23:57,Bradford,Yorkshire,,"Large balloon shape, with 'shimmer fire' effect underneath it."
2009-10-10,22:45,Barnsley,South Yorkshire,,"Two bright orange lights, three to four minutes a part and no sound 
heard.  Lights then went into clouds."
2009-10-10,00:20,Hoddesdon,Hertfordshire,,"First saw three orange objects. Forty minutes later, looking North 
saw an orange glowing object travelling slowly from SW to NE. It 
was at an angle to the ground of about 30-40 deg."
2009-10-10,21:30,Brighton,East Sussex,,"A bright orange light travelling in a straight line from Brighton 
Centre. Which then passed over the house."
2009-10-10,09:30,Bromley,Kent,,"Saw an orange, yellow object in the sky, with the shape similar to a 
hot air balloon."
2009-10-10,Not Given,Peterborough,Cambridgeshire,,"Three bright orange lights and one dimmer one. Faded after being 
static."
2009-10-27,00:05,East Kilbride,Lanarkshire,,"Bright orange bulb. Stayed for 10 minutes, came towards him like a 
tornado then disappeared."
2009-10-27,09:45,Stockport,Cheshire,,"Bright orange object which looked as though it was on fire. Moving 
at a steady pace, slowed then gained altitude slowly and 
disappeared into the clouds.  Sighting lasted 2-3 minutes.  Object 
was similar to a hot air balloon but had no outline or shape."
2009-10-27,20:45,Not Given,Not Given,,"Bright light form the northwest - lights went out, turned towards the 
south."
2009-11-05,20:30,Dronfield,Derbyshire,,"Round shape - lightening then darkening with a dark shape behind it.  
No engine noise."
2009-11-05,21:29,Manor Park,London,,Saw a bright light heading towards Essex - bright light standing still.
2009-11-05,21:30,Not Given,Not Given,,"Orange ball going in a straight line.  No visible trail.  No smoke or 
noise. Appeared to be getting smaller burning itself up."
2009-11-05,Not Given,Sark,Guernsey,,"Saw what looked like a flying log, blue with a white edge."
2009-11-05,Not Given,Kings Lynn,Norfolk,,"Terrestrials seen coming from King's Lynn towards Swaffham, 
Norfolk."
2009-11-05,21:00,Kettering,Northamptonshire,,"Two glowing sphere/domed -shaped objects followed each in South 
East direction.  Completely silent and not flashing at all, as you 
would expect from aircraft."
2009-11-05,21:09,Plymouth,Devon,,"One object rising in the sky. Semi circle outline. Flames glowing 
orange/red.  Flickering round the edge. At first thought it was a 
firework, then it disappeared."
2009-11-05,21:40,Lyneham,Wiltshire,,"Orange lights following each other in same direction. No noise, no 
flashing lights, same trajectory. In vicinity of Lyneham radar.  Some 
lights disappeared."
2009-11-06,21:47,"Stratford-upon-
Avon",Warwickshire,,"Saw lights, moved into view from right to left, then stop and form a 
pattern before pulsing and fading out their bright orange lights."
2009-11-06,22:05,Smethwick,West Midlands,,"Saw strange lights in the sky, in three's then one, then two's, then 
three's - Fifteen in all."
