Date,Time,Town,County,Occupation,Description
2001-02-24,11:00 Truro,,Cornwall,,"Explosion in the sky, but with no sound. It looked like a rocket. Was very large and had a blue and red light."
2001-02-24,16:45 Bracknell,,Berkshire,,"A white ball, followed by a USAF jet that was contrail ling. Was moving at high speed in a straight line."
2001-04-16,01:30 Grimsby,,NE Lincolnshire,,"A ball shaped object. It gave off a glow, like a hot coal ember - orange/red. It dropped through the air and then shot up and disappeared."
2001-07-15,16:55 Hellingly,,East Sussex,Pilot,"One large object, the size of an eagle. It looked like three circles joined together. Was dark brown and black. Quite fast."
2001-07-23,18:15 Harrow,,London,,"One, small, balloon shaped object. Brown in colour. Was moving up and down and sideways."
2001-07-23,11:00 Perton,,South Staffordshire,,"A dark, possibly circular object, as it looked like a rocket at first glance. Part of the object was metallic and glistened."
2001-08-18,02:10 Paisley,,Scotland,,A red flash fell from the sky. It was falling to the ground in a wide spiral.
2001-10-07,03:16 Woodbridge,,Cambridgeshire,,A spaceship was seen that had lights on the top and bottom of it.
2001-10-11,15:20,,,,Mentioned that the planets are in danger from different things going on in our solar system.
2001-11-15,05:59 Armthorpe,,South Yorkshire,Police Officer,"Tennis ball size and shape, with an orange centre and a black inner line around the circle. Two bright green flare trails from the rear."
2001-12-18,,Stockport,Greater Manchester,,Two grey plumes of smoke in the sky over Stockport Railway Station. A grey triangle was then witnessed.
2001-12-18,20:00 Stockport,,Greater Manchester,,"Red light moving fast, high up in the sky. It slowed down, got fast again and then wobbled from side to side."
2001-12-18,20:50 Crawley,,Sussex,,"The object looked like a rounded triangle, longer at one point, with a giant light in the centre."
2001-12-30,02:30 Baltonsborough,,Somerset,,"Two round, thirty foot objects. Each had one white light on the left, and one red light on the right. Was a low rumbling sound."
2002-01-24,16:12 Cromer,,,,Eight to nine lights that looked like they were close and then they separated. Not too bright. Were like large fireworks.
2002-02-13,22:19 Enfield,,Middlesex,,Twenty silver balls with an orange tinge were seen flying West of Enfield Wash.
2002-05-27,,12:45 St John's Wood,London,,"An object was seen floating up and down and the sun was shining off of it. Also, there were two black dots moving quickly."
2002-08-26,00:00 Dundee,,Tayside,,Strange red and white lights seen through curtains. Then there was a solid red beam outside the window for about five to ten seconds.
2002-08-29,00:30 Leicester,,Leicestershire,,"Looked like a shooting star. Had four lights on each side, like a black shadow."
2023-11-02,14:30 Walcott,,Lincolnshire,,"Dark, black torpedo shaped object. White plume of smoke."
2002-12-18,16:40 Coningsby,,,,"Bright oval shape cluster of lights, that grew brighter than the moon."
2003-03-30,23:00 Southfields,,London,,"Object, not a plane, not on flight path and not a star."
2003-05-05,02:30 Falmouth,,Cornwall,,One craft with three yellow lights on portside and three red lights on starboard side. Shape was between circular and triangular or Delta wing size.
2003-06-09,23:20 St. Leonards,,East Kilbride,,Huge white ball that was glowing. (Looked like a flying jellyfish).
2003-06-14,17:00 Wellingborough,,Northamptonshire,,White cylindrical object moving very fast up into the sky.
2003-06-14,06:40 Isleworth,,London,,"Silver object as bright as a star, changed from a cylinder to a crescent moon shape, with red and silver stripes."
2003-06-14,,21:35 Llandrindod Wells,Powys,,Very big red light balls hovering. One red light hung smaller and then dropped out.
2003-06-26,16:43 Richmond,,London,,"A doughnut shaped object was spotted moving from left to right, side to side. One side was shiny and reflective, and the other black."
2003-08-14,22:35 West Kilbride,,Ayrshire,,"A star shaped object. Witness watched for a few minutes, then it dropped from the sky like a bomb."
2003-08-14,22:55 Maesteg,,Mid-Glamorgan,,"Roundish, football shaped. Flashing lights-multi coloured. The lights were on top, then moved around the object."
2003-09-24,,22:30 Ashby De La Launde,"Nr Digby, Lincolnshire",,"The object was spinning whilst stationary, while above a house."
2003-09-24,,Hove,East Sussex,,"A red unidentified flying object, definitely not an aeroplane."
2003-10-26,19:25 Barry,,South Glamorgan,,"Saw an unusual object, falling from a cloud, like it was burning, and was very fast. Was viewed for five minutes."
2004-04-14,20:00 Lowestoft,,Suffolk,,Yellow light in a circular formation. The flash shot across the sky and the lights went out.
2004-04-14,,22:10 Leighton Buzzard,Bedfordshire,,"Large ball of light. Looked like a rocket. No sound generally, but at times, a slight whirring sound."
2004-04-19,,,Sri Lanka,,Saw the object at 17:30 Sri Lankan time. The object looked like a ring doughnut and was orange and had other rings of colour surrounding it too.
2004-05-22,22:30 Derby,,Derbyshire,,"Four bright lights, plus the outer circle of the round object, had eight lights going round in a clockwise direction."
2004-07-19,21:07 Coventry,,West Midlands,,"The object was black and silver, and of cylindrical shape and was flying below cloud level."
2004-07-28,,Wellingborough,Northamptonshire,,A black 'UFO' was seen flying over a Methodist Church.
2004-09-02,22:20 Wellford,,Berkshire,Press/Newspaper called about reports,"Ball of flames with a solid underneath, the flames went out and came on again, and then plummeted to earth."
2004-09-16,14:30 White Hill,,East Hampshire,,The object was a black cylinder rectangle shape and was the size of a house. One minute the colour was black and then changed to a silver colour.
2004-09-24,10:24 Birmingham,,West Midlands,,The object was about 2-3mm wide with a domed top and bottom. Was metallic in appearance.
2004-09-24,15:20 Barry,,South Glamorgan,,"The object was a bright light at first and then looked like a box kite. There was no sound, wings or fuselage."
2004-09-24,11:30 Holywell,,Flintshire,,"Two silvery objects, they were pulling apart and moving together and they left vapour trails as they were moving."
2004-10-10,20:15 Cardiff,,South Glamorgan,,"Large flash of light which turned into a grey object descending over Cardiff bay, with trailing smoke behind it."
2004-10-10,,03:50 Iwerne Minster,Dorset,,"The object looked like a great bright light and was really intense, like a big ball of fire, rapidly moving towards the ground."
2004-11-26,02:35 Preston,,Lancashire,,The object was a round sphere like the moon and it had green and red flashing lights and was very noisy.
2005-03-24,,09:45 Nr Minehead,Somerset,,"A 'swishing' sound, like a firework was heard and there was a bright green light travelling from East to West. It had a white trail."
2005-04-06,,Yeldersley,Derbyshire,,"The object was missile shaped. Was turquoise in colour, metallic and looked reflective, and was the length of an estate car."
2005-04-11,,Wokingham,Berkshire,,"Zoom of light which streaked across the sky from left to right, changed into a silver ball, then a flying saucer shape, before disappearing."
2005-06-04,00:45 Shrewsbury,,Shropshire,,"A triangular shaped, huge craft, with red lights on the stern. It hovered over the southern suburbs of Shrewsbury."
2005-08-13,22:15,,,,There were two objects above the house and they circled above it about five times.
2005-09-10,11:50 Ripon,,North Yorkshire,,"Round, football shaped object that was shiny and metalic."
2005-09-10,,North of Derbyshire,,,"There were eight to ten circular things/objects that looked quite low in the sky. They were uniform shape, small and opaque."
2005-09-10,,21:30 Rhossili Bay,South Wales,,"A bright object was travelling at high speed, horizontally, West to East. The object was a matt white, which looked like marble."
2005-09-10,,17:45 Little Waltham,Essex,,"The witness saw a cylindrical shaped object, that changed from silver to black as it was moving across the sky. About 100ft wide."
2005-09-10,22:00 Louth,,Lincolnshire,,"Two orange orbs seen outside moving very slow at first, then very fast towards the North Sea."
2005-09-14,,02:35 Wolsingham,Northumbria,Four Police Officers,"There was a three dimensional diamond shaped object, approx. size of a large helicopter. It had green lights on either side."
2005-09-14,,05:45 Little Hampton,West Sussex,,"There was one light in the sky that burst into four separate ones, before disappearing."
2005-09-14,22:00 Loughton,,Essex,,Three glowing lights. They were a bright orange colour.
2005-11-22,23:58,,Wales,,The object looked like a red ball and was the size of a sixpence. It exploded and the whole sky lit up.
2005-11-22,18:00 A171,,,,"Was travelling to Whitby on the A171, and saw the object that looked like an orange ball."
2006-01-30,19:45 Eastleigh,,Hants,,"The trail of light was almost luminous green in colour, and looked like a rocket. Was high in the sky and was travelling at an amazing speed."
2006-07-04,16:20,,,,An object was moving across the sky and looked like it was on fire. It was cigar shaped and silver in colour.
2006-09-09,22:00 West Kilbride,,Ayrshire,,Four golden spheres. They drifted - South to North East. The witness said they are definitely solid guided craft.
2006-09-09,22:30 Trestle,,Stafford,,"Looked like a satellite coming into the atmosphere and coming to it's end, but then another object came into view and they started zig-zagging about."
2006-09-09,,Barlaston,Staffordshire,,There was the mother ship and two smaller orbs that were moving around it. One of the orbs was white in colour and the other orange.
2006-09-09,,Barlaston,Staffordshire,,The mother ship was seen again. (The two separate sightings were on one letter).
2006-12-31,21:30 Herne Bay,,Kent,,Eight yellow/orange spheres that looked like they had flames coming out of the back of them.
2007-03-07,21:45 Whitehaven,,Cumbria,,"A triangular object with lights. One green, one red and the other two amber. There was a strange droning noise as it passed overhead."
2007-03-21,23:05 Kettering,,Northants,,"A triangle shaped object that had lights on that looked similar to a helicopter. There was one white, one green and one red light."
2007-09-01,11:25 Lincoln,,Lincolnshire,,"Two objects, with very bright lights. They were moving too slow to be aircraft."
2007-09-01,00:11 Southampton,,Hampshire,,"Two distinctive lights, which were reddish in colour and were moving rapidly from 
South West to North."
2007-09-01,21:00 Skegness,,Lincolnshire,,"There was a dark silhouette/figure/thing quite low in the sky. It seemed quite flat, 
and the edges seemed to curve downwards, slightly."
2007-09-01,20:30 Duxford,,Cambridgeshire,,"Fifty objects, each with a single orange light. They gathered, before ascending 
directly upwards."
2007-09-05,06:30 Liverpool,,Merseyside,,"A red, pipe like object. It was seen for about 10-15 seconds, very close to the 
plane. It then disappeared into the clouds."
2007-11-21,22:45 Pilton,,Devon,,"Five lights were seen, that were followed by another fifteen lights, all moving in the 
same direction and extinguishing in the same area."
2008-02-27,21:00 Hillmorton/Rugby,,Warwickshire,,"Six, strange lights which were yellow, but had orange in the centre. They were 
moving in a staggered formation across the sky, below the cloud base."
2008-02-27,22:00 Denton/Grantham,,Lincolnshire,,"A cigar shaped object, with flashing lights. It was hovering."
2008-05-19,,Stanfields/Stoke on Trent,Staffordshire,,There were eight small discs moving in a formation in the sky.
2008-05-19,20:20 Ladybank,,Fife,,"One bright, red object. It was quite large. It hovered for about five minutes, before 
heading East, gaining height and then vanishing."
2008-05-19,21:50 Shrewsbury,,Shropshire,,"A series of lights in a circle that had an inner circle. There were fifteen extra lights 
on the outside of the outer circle. They were moving clockwise, then anti-clockwise 
through the sky and then back again."
2008-08-15,19:00,Walthamstow,London,,"Eight, faint orange lights were flying in the sky. 
They suddenly disappeared when a plane was 
in it's view."
2008-08-15,20:56,Huntingdon,Cambridgeshire,,"A long, thick, red streak shot across the sky. 
There was a silver ball of light attached to the 
front of it. It was rather large. The ball then got 
bigger and burst."
2008-08-29,10:10,Euston,Leicestershire,,"Two strange black discs in the sky, with 
orange lights on the side of them. They were 
hovering, and then started spinning around 
quite quickly."
2008-08-29,Not stated,Portsmouth,Hampshire,,"A bright orange light appeared. Bigger than a 
helicopter or a plane. It zig-zagged and then 
flashed red and blue and moved in a circular 
motion. It then disappeared."
2008-08-30,22:50,Leeds,West Yorkshire,,"A jumbo jet sized object. The object was flat 
and round, with a blue rippled underside. It 
made no sound and then disappeared."
2008-08-30,23:00,Northop Hall,Flintshire,,"A bright circle shape was seen. It moved 
quickly and was quite erratic in the sky. It shot 
to the left over some houses and then 
disappeared."
2008-09-01,19:00,Portsmouth,Hampshire,,"Bright orange lights were seen, that were 
glowing bright, above trees in the distance. 
They were disappearing and reappearing 
erratically."
2008-09-19,00:02,M6 Motorway,West Midlands,,"The witness saw a fast moving green object, 
whilst driving on the M6 Motorway."
2008-10-10,00:30,Heathrow,Middlesex,,"Twenty five amber lights were seen leaving 
the Heathrow area. They were travelling West 
at 45 degrees, 200-300 knots."
2008-11-15,23:30,Scarborough,North Yorkshire,,"A cork shaped object that glowed like an 
angel, flew up and over some trees."
2008-12-01,22:50,Horncastle,Lincolnshire,,"Eight circular large yellow, bright solid lights 
moving East, South East. They were moving 
at high speed, low level."
2008-12-01,23:30,Oxted,Surrey,,"Ninety orange lights were in a V or S shaped 
pattern. They were the size of footballs. They 
passed over the witness's house."
2008-12-21,00:50,Chavey Down/Ascot,Berkshire,,"It resembled a white light, and was travelling 
at low speed. Was about two or three times 
bigger than Venus. Sometimes it looked like a 
spotlight, but there was no silhouette or 
shadow of an aircraft. There was no noise."
2009-01-04,22:41,Oakworth/Keighley,West Yorkshire,,"A UFO. Was quite far away and too high to be 
a plane."
2009-01-05,17:40,Stroud,Gloucestershire,,"Six orb shaped objects that were red and 
orange in colour. They initially formed a 'V' 
shape. They were floating around and then 
the central one zoomed off like the Captain 
Kirk Enterprise."
2009-01-26,22:55,Malton,North Yorkshire,,"There were circles of white lights with a set of 
fire coming from inside each of them. They 
were like hang gliders, totally quiet. The last 
circle had  a red light. They were in a 
formation."
2009-01-26,22:15,Iver,Buckinghamshire,,"A stream of forty over-roundish lights. They 
were in separate formations, all in straight 
lines. They were a funny orange colour and 
were bright."
2009-01-26,19:45,Southgate,London,,"A large silent squadron of red/orange 
coloured flying craft. There must have been in 
excess of thirty. Maybe more. They were 
flying from West to East."
2009-02-03,20:55,Not stated,Lincolnshire,,"A very large inverted V shape of seven dull 
lights - greyish almost. There was no shell 
outline. It rotated slightly and then seemed to 
bounce. The lights then shot off individually at 
high speed."
2009-02-03,23:17,Newcastle upon Tyne,Tyne and Wear,,"A large, bright white object moving silently at 
fast speed in the sky at a very high altitude, 
heading from North East to South West. The 
colour then changed from white to red and 
then it stopped. It jumped to different parts of 
the sky."
2009-02-07,Not stated,Slough,Berkshire,,"There was a triangular object hovering a mile 
above the witness's house. It had a sort of 
pattern under it, like a sign. It also had three 
circular type of lights. There was a weird 
hovering sound. It then shot up in the sky and 
disappeared."
2009-02-07,20:05,A259/Brighton,East Sussex,,"A bright spherical light was hovering above a 
house. The object slowly departed to the East 
and it spun and shifted at a rapid speed 
upwards in a Northerly direction, before 
disappearing."
2009-02-07,00:01,Snetterton,Norfolk,,"A very high object came from out of space, 
travelling ten times the speed of sound. It was 
followed by a loud whooshing sound. The 
object was declining and was travelling far 
faster than any jet can go."
2009-02-07,18:30,Wakefield,West Yorkshire,,"There was an orange object in the sky and it 
was the size of an aircraft. The object was 
about twenty miles away. It climbed into the 
sky very fast, and then disappeared."
2009-02-07,20:35,Dumfries,Dumfriesshire,,"There were two lights moving towards each 
other. They then merged, disappeared and re-
appeared, but were apart. The lights were 
seen to the South West."
2009-02-09,19:30,Twyford train station,Berkshire,,"A flicker of light that seemed to jump a 
considerable distance around the night sky. It 
had lights that seemed to scroll from one side 
to another."
2009-02-15,17:10,Shrewsbury,Shropshire,,"A strange triangular shape in the sky, with the 
apex to the right. Metallic grey in colour, but 
the flat base end seemed to glow orange. 
Must have been at least fifteen feet long and 
ten feet wide."
2009-02-15,18:50,Wettenhall/Winsford,Cheshire,,"A crest shaped object moving to the South 
East at the rear of the witness's property."
2009-02-16,21:30,Village of Llangwm,Pembrokeshire,,"A very bright light, which had a long white tail. 
It then shot across the sky and the whole field 
was lit up. The light then began to break up."
2009-02-16,23:45,Stratford upon Avon,Warwickshire,,"An orange ball. The object was stationary for 
about five minutes and then shot up into the 
sky, and out of view. There was no sound."
2009-02-22,19:50,Rottingdean,East Sussex,,"There were fifteen UFOs/bright lights coming 
down from the Downs. They were travelling at 
very fast speeds."
2009-02-22,20:00,Felixstowe,Suffolk,,"An orange/red ball shot into the sky from a 
North Easterly direction. It travelled at terrific 
speed climbing all the time, then faded and 
disappeared. There was no noise."
2009-02-22,21:40,High Wycombe,Buckinghamshire,,"There were fifteen lights moving across the 
sky about half a mile away. They were red 
and flickering. Then three lights formed a 
triangle shape. They were moving horizontally 
from left to right."
2009-02-22,20:20,Glasgow,Strathclyde,,"Six objects in two lines of three, one line 
above the other.  Emitted a very strong yellow 
orange light before disappearing in the 
distance to the west."
2009-02-22,22:40,Carlisle,Cumbria,,"Four or five bright lights moving across sky 
north of Carlisle. Orange in colour. Retained a 
constant altitude then dissappeared from view 
heading westwards."
2009-02-28,Not stated,Farnworth,Lancashire,,"There was a large, bright orange light. There 
was no sound. It moved slowly initially and 
then there was rapid movement and it 
disappeared out of sight."
2009-02-28,21:00,No area given,No area given,,"Ball of fire sitting in the sky. Changed colour 
from red to orange. Diamond shaped. Moved 
up & down and backwards in circles and then 
shot up and disappeared"
2009-05-14,Not Given,"Haslingdale/ 
Rossendale",Lancashire,,"Four or more moving bright solid orange lights. Followed by a further 
eight identical objects. Rose vertically over the side on the valley. 
Made no sound."
2009-05-16,19:00,Malvern,Worcestershire,,"A V shaped formation similar to how birds fly of seven lights. Moved 
rapidly across the sky rotated slightly then the lights split up and 
vanished. Lights were size and brightness of stars. No noise and no 
visible trails in sky."
2009-05-16,Not Given,Cardigan,Cardiganshire,,Five rather big orange things flew over the witness. He was terrified.
2009-05-16,04:40,Blackpool,Lancashire,,"A green light with a white light on the outer rim. Flew over the hills 
and disappeared once it passed the motorway."
2009-05-16,00:10,London W9,Greater London,,"Strange white light, got smaller and turned green. Pulsated in 
brightness."
2009-06-06,01:00,Not Given,Thames Estuary,,"Same as the UFO seen over the House of Commons in February 
2008. Matches description The Sun gave."
2009-06-18,17:30,"Between Mealrigg 
and Langrigg",Cumbria,,"A clearly defined, shiny silvery metallic cylinder with rounded ends. 
Estimated 50ft in length. Small protrusion on upper rear body. 
Object made no sound nor visible emissions."
2009-06-21,23:10,Basingstoke,Hampshire,,"A bright orange light travelling very fast from North to South east. 
Too large and bright to be a plane. In view for one minute then 
disappeared behind a cloud. Noticed no noise or tail."
2009-06-23,22:05,Fowey,Cornwall,,"Strange object in the sky. Bright orange in colour with intensity of 
fire. Like a huge hanglider."
2009-06-23,20:00,Ashingdon,Essex,,Lights in the sky. Definitely not a plane. Very strange.
2009-06-27,Not Given,Aberford,Leeds,,"Witness saw a long light flashing like a laser. Sometimes there were 
two lights crossing over. This is the third time they have been seen 
over six weeks."
2009-06-27,00:15,Winwick,Warrington,Police Officer,"Two orange lights in the sky that hovered over the old hospital site. 
The lights were not together but were stationary. They made no 
noise. They then moved off in a southerly direction."
2009-06-27,19:00,Colchester,Essex,,"A bright light that went straight up in the sky above the A12 near 
Colchester."
2009-06-27,19:19,Leigh,"Greater 
Manchester",,"A dome shaped orange ball of light. It suddenly took off from a field. 
It was organic like a jellyfish. Transparent, and you could see its 
internal workings. It departed swaying left to right and made a 
droning noise. 150-200ft in the air."
2009-06-27,19:50,Gravesend,Kent,,"A ball of light with a few lights inside. It hovered over Gravesend for 
some 30 minutes. Too static for a helicopter."
2009-06-27,21:45,Bradford,West Yorkshire,,"Two strange lights behind the clouds that appeared to be playing 
with each other, pretending to crash into each other. Then they were 
joined by a third light that hovered underneath them, going back and 
forth."
2009-06-27,22:45,Arundel,West Sussex,,"Five bright orange lights in the sky. One was in the lead the other 
four in a loose rectangular formation. Disappeared behind trees then 
were seen in a line with long gaps between them. Heard no engine 
noise. Headed south for two miles before vanishing."
2009-06-30,Not Given,South East LondonLondon,,,"An object with a white and alternating red lights at an angle. Came 
from South East London towards Canary Wharf. It stopped in mid-air 
and an alternating sequence of red lights flashed at 180 degrees. 
Lights switched side instantly."
2009-07-02,19:00,Oxted,Surrey,,"Object came in trajectory into back garden. It was like the upper part 
of an egg, glowing bright orange like hot steel. On bottom it had 
something like a root structure. It looked like it was having some 
trouble but righted itself, and gently flew off."
2009-07-04,19:17,New Ash Green,Kent,,"A ball of light in the clouds, moving slowly and falling apart. Had 
other white lights coming off it. Made no sound."
2009-07-04,22:52,South East LondonLondon,,,"It was the flashing of a huge object with one normal and two green 
lights. It was flying low. Only saw it for four seconds than it vanished 
from sight."
2009-07-04,18:45,Hartlepool,Cleveland,,"Saw four spaceships that flew over the house into the sky. They had 
a bright light that faded and was then gone. They returned to the 
same spot they had come from."
2009-07-04,19:15,Malmesbury,Wiltshire,,"Two lights above the cloud with beams of light coming out from 
them horizontally. Dotting about like two fireflies. The beams are 
coming from the lights, not the ground. Seen to the north. The lights 
are very round and flying in a small area."
2009-07-04,18:15,Central London,London,,"One white light to the south east that flashes red, green and an off 
yellow at about 8-10000ft. Another across central London at 10-
15000ft with the same colours. Objects are identical and 3-4 miles 
apart on the approach path to Heathrow or London City."
2009-07-05,21:00,Lelant,Cornwall,,"Two orange lights over Hayle Estuary moving at the speed of a 
helicopter but had no aircraft navigation lights."
2009-07-05,23:00,Newquay,Cornwall,,Bright orange object travelling west to east across the sky.
2009-07-05,04:30,Portlethen,Aberdeenshire,,"A big yellow glow in the sky to the south of Aberdeen. About 2500ft 
high but not aircraft landing lights."
2009-07-12,Not Given,Selby,North Yorkshire,,"Two sphere like objects orange/red in colour. The first object ran 
parallel to the witness, dropped then disappeared. The second 
object moved straight across the sky line then disappeared."
2009-07-15,18:15,A3 South of M25,A3 South of M25,,"A long cylinder of gold light. It looked like a very bright shooting star. 
Observed it for 3 seconds."
2009-07-15,18:50,Barrow-in-Furness,Cumbria,,"The whole object was glowing like hot metal and there was no 
sound. It was travelling at the speed of a fighter or a satellite, from 
NW to SE. It looked to be flying quite low."
2009-07-25,08:45,Torquay,Devon,,"A group of very bright orange objects heading NW to SE at a 
consistent speed and low altitude. There was a group of 15 followed 
by groups of 2-3 and 3-4 over a five minute period. They made no 
noise."
2009-07-25,20:45,Preston,Lancashire,,"Three bright lights heading in the same direction some 2 minutes 
apart. The 3rd light disintegrated and spilt up."
2009-07-25,Not Given,Swindon,Wiltshire,,"A massive orange thing. Going so fast it passed a plane going 
towards RAF Lyneham."
2009-07-25,00:30,Saddleworth,Lancashire,,"A bright orange ball of fire. It was quite high up in the sky over the 
house. It was changing colour and disappeared straight into the sky."
2009-07-25,Not Given,Hessel,Humberside,,"Very bright white light. Its trail followed it for half an hour heading 
towards Brough."
2009-07-25,01:00,Brighton,Sussex,,"Looked like a squashed balloon and had no wings. Rounder at the 
front and pointed at the back. It had no lights at the front but 2-3 at 
the back, one red, one red and flashing and one white/green. 
Witness heard the noise first which grew louder."
2009-07-25,21:26,Note Given,Liverpool,,Two parallel lights. Red or orange lights in the sky.
2009-07-25,21:35,Ellon,Aberdeenshire,,"A very bright orange glow. Moved about the speed of an airliner, 
heading south to north."
2009-07-25,21:05,Harrow,London,,"A big ball of fire, like a star. It decreased in size over two minutes."
2009-07-25,21:20,Chesterfield,Derbyshire,,"Several orange lights, same colour and brightness of street lights. 
Three were close together and the others were in a horizontal line."
2009-07-25,21:40,Goole,Humberside,,"A Light. Moved past very slowly then shot off at phenomenal speed. 
It was round but twice it changed into a cone shape. 300-400ft up."
2009-07-25,Not Given,Swindon,Wiltshire,,"Four glowing objects coming from southwest and then turned north. 
They were glowing duller and brighter, then disappeared."
2009-08-01,22:22,Brandon,Suffolk,,Two yellow objects like giant sparklers heading North to South.
2009-08-01,10:00,Maghull,Merseyside,,"A orange ball in the sky, travelling very quickly then stopped and 
faded away."
2009-08-01,20:40,Snodlands,Kent,,"An oval shaped glowing red object, in two dimensions. It spun in one 
direction then reversed and swung in the other."
2009-08-01,21:34,Maidstone,Kent,,"Lights rising from the ground into the sky, much like debris from a 
fire. However lights were too intense to be a fire. Seen in the 
direction of the North Downs from Maidstone."
2009-08-02,22:55,Brighton,Sussex,,"A bright flaming object, about a quarter of the size of the moon. It 
was like a special effect. It was silent and went from horizon to 
horizon, starting in the North."
2009-08-02,15:10,Basingstoke,Hampshire,,"Like a large black parachute with nothing suspended from it. It 
changed shape and gradually got smaller as it went into the 
distance. Observed for 10-20 minutes."
2009-08-02,01:22,Harrow,London,,"A long shaped vehicle with a red light at the front and two gold lights 
either side. Hovered above the house and then moved off to the 
right at tremendous speed before returning. It then drifted slowly 
away. It was louder than a plane or helicopter."
2009-08-02,20:30,Bury St Edmunds,Suffolk,"Former Air Traffic 
Controller","A large black ball with a light underneath. Travelling South over 
western Bury St Edmunds at 3000ft at 200 miles an hour."
2009-08-04,Not Given,"Holmefirth/ 
Huddersfield",West Yorkshire,,"A black spherical object 12m in diameter. It was 500ft up and 
travelling at 500 mph. It made no sound. It had a light on but 
switched it off when the witness shone a torch at it."
2009-08-04,00:50,Hackney,London,,"Two bright lights heading towards the city. Like a white octopus 
shaped kite. It was like they were propelled but travelling on their 
own."
2009-08-04,18:15,Regents Park,London,,"A spherical object with a red flashing light underneath. It was 
stationary in the sky for 10 minutes and then just faded away. It had 
made no movement at all."
2009-08-04,18:30,Central London,London,,"Single small white orb shortly joined by two others. Changed into a 
dull flat circular shape. They were hovering over Central London at 
15-20,000 ft but not blown by the wind. Objects disappeared but one 
reappeared for five minutes."
2009-08-04,22:05,Grimsby,Lincolnshire,,"Looked like a star or satellite. Saw three within 20 minutes. Came 
from the south. Its speed increased and then slowed down. Finally 
headed east over the North Sea."
2009-08-07,20:30,Sutton,Surrey,,"A bright green light that whizzed about the sky for an hour. It was 
very fast and a few planes got in its way."
2009-08-07,21:36,Chorley,Lancashire,,"Saw orange lights that looked like flames. They were heading South 
to North towards Preston. Police said it was the open rear of an 
aircraft undertaking parachute training."
2009-08-07,21:50,Upper Norwood,London,,"Six very bright orange lights flying in formation passed by in 15 
minutes. Heading from Upper Norwood towards Crystal Palace."
2009-08-07,22:00,Burbage,Wiltshire,,"Initially one then five pitch black hot air balloon shaped objects with 
continual flames underneath."
2009-08-07,23:00,Long Eaton,Nottinghamshire,,"A large bright yellow object hovering in the sky. Too bright to be an 
aircraft and the wrong colour. It didn't move for ages and then 
disappeared in the blink of an eye."
2009-08-07,23:30,Buckhurst Hill,Essex,,"A slow moving, silent, orangey/red light. Does not think it was a 
helicopter or aircraft. Flew at same height as a helicopter."
2009-08-19,22:15,Long Eaton,Nottingham,,"An ellipse shaped object the size of a commercial plane. It was on 
fire. It glowed bright orange. It moved South East to North and then 
returned and hovered for at least a minute. Moved further away at 
supersonic speed."
2009-08-19,23:40,King's Lynn,Norfolk,,"Very strange circular objects without definite shape. They stayed 
around for about five minutes. They were 8-9 of them."
2009-08-19,22:00,Penzance,Cornwall,,"Ten orange lights in a line with intermittent gaps. They made no 
sound and flew at helicopter height."
2009-08-22,23:00,Hove,East Sussex,,A very big red light moving slowly. It then faded away.
